"統一編號","公司名稱","公司地址","公司狀態"
"28428384","臺銀人壽保險股份有限公司","臺北市大安區敦化南路2段69號6樓","01"
"05072925","中租迪和股份有限公司","臺北市內湖區瑞光路362號8樓至12樓","01"
"03036306","上海商業儲蓄銀行股份有限公司","臺北市中山區民權東路一段2號","01"
"86517321","凱基商業銀行股份有限公司","臺北市松山區敦化北路135號9樓、10樓、11樓及18樓","01"
"22099218","華邦電子股份有限公司","中部科學園區臺中市大雅區科雅1路8號","01"
"33688521","萬寶開發股份有限公司","臺北市大安區仁愛路四段296號24樓","01"
"12545506","匯弘投資股份有限公司","臺北市中山區八德路二段308號11樓之1","01"
"55991080","矽品精密工業股份有限公司","臺中市潭子區大豐里大豐路3段123號","01"
"29187308","日月光投資控股股份有限公司","高雄市楠梓區經三路26號","01"
"21222725","仁寶電腦工業股份有限公司","臺北市內湖區瑞光路581號及581之1號","01"
"03787101","臺灣菸酒股份有限公司","臺北市中正區南昌路一段4號1樓","01"
"86517096","遠東國際商業銀行股份有限公司","臺北市大安區敦化南路二段205、207、209號1樓","01"
"86380802","聯邦商業銀行股份有限公司","臺北市松山區民生東路三段109號1、2樓","01"
"24790031","環電股份有限公司","南投縣草屯鎮太平路一段351巷141號","01"
"28112667","力晶積成電子製造股份有限公司","新竹科學園區新竹市力行一路18號","01"
"47255708","神達電腦股份有限公司","新竹科學園區新竹縣研發二路1號","01"
"35412204","華新麗華股份有限公司","臺北市信義區松智路1號25樓","01"
"72976520","允能風力發電股份有限公司","臺北市松山區光復北路11巷35號14樓","01"
"22822281","廣達電腦股份有限公司","桃園市龜山區文化里文化二路188號","01"
"16091049","陽信商業銀行股份有限公司","臺北市中山區集英里中山北路二段156號","01"
"03084741","中國石油化學工業開發股份有限公司","高雄市大社區經建路1號","01"
"04216170","霖園投資股份有限公司","臺北市大安區仁愛路四段296號24樓","01"
"97176270","台灣大哥大股份有限公司","臺北市信義區菸廠路88號12樓","01"
"54327209","台塑資源股份有限公司","臺北市內湖區石潭里南京東路六段380號8樓","01"
"97179430","遠傳電信股份有限公司","臺北市內湖區瑞光路468號5樓","01"
"04322046","英業達股份有限公司","臺北市士林區後港街66號","01"
"03244509","亞洲水泥股份有限公司","臺北市大安區敦化南路2段207號30、31樓","01"
"80330257","國票金融控股股份有限公司","臺北市中山區樂群三路126、128、130、132號17樓及128號7樓、9樓","01"
"04200199","陽明海運股份有限公司","基隆市七堵區明德一路271號","01"
"89614591","鼎越開發股份有限公司","臺北市松山區東興路12號地下一層","01"
"28990720","滙豐(台灣)商業銀行股份有限公司","臺北市信義區信義路五段7號54樓","01"
"27946233","遠雄巨蛋事業股份有限公司","臺北市信義區忠孝東路四段515號","01"
"59504506","正新橡膠工業股份有限公司","彰化縣大村鄉黃厝村美港路215號","01"
"70761592","迅捷投資股份有限公司","臺北市內湖區西康里內湖路1段66號8樓","01"
"89390656","南亞科技股份有限公司","新北市泰山區大科里南林路98號","01"
"96975970","麥寮汽電股份有限公司","雲林縣麥寮鄉中興村台塑工業園區1號之1","01"
"70745361","王道商業銀行股份有限公司","臺北市內湖區堤頂大道二段99號","01"
"20828393","宏碁股份有限公司","臺北市松山區民福里復興北路369號7樓之5","01"
"85122383","大彰化東南離岸風力發電股份有限公司","彰化縣彰化市華山路37號11樓之2","01"
"22424994","合迪股份有限公司","臺北市內湖區瑞光路362號3樓","01"
"12800766","綠點高新科技股份有限公司","臺中市大雅區員林里神林路一段256號","01"
"51712072","星宇航空股份有限公司","臺北市內湖區南京東路六段382號15樓","01"
"58711014","寶成工業股份有限公司","彰化縣福興鄉萬豐村福工路2號","01"
"16450500","瀚宇彩晶股份有限公司","臺北市內湖區行善路168巷15號4樓","01"
"53104757","特許投資顧問股份有限公司","彰化縣線西鄉彰濱西二路85號","01"
"46479103","渣打國際商業銀行股份有限公司","臺北市中山區遼寧街177號1樓及179號3樓至6樓、17樓至19樓","01"
"11914002","台灣玻璃工業股份有限公司","臺北市松山區南京東路三段261號11樓","01"
"12868358","緯創資通股份有限公司","新竹縣竹北市智慧路1號","01"
"82908184","台泥循環能源科技股份有限公司","臺北市中山區中山北路二段113號11樓","01"
"12139612","潤泰創新國際股份有限公司","臺北市中山區八德路二段308號11樓之1","01"
"11395000","萬海航運股份有限公司","臺北市中山區松江路136號10樓","01"
"16441469","能元科技股份有限公司","臺南市善化區大利二路10號","01"
"22318678","亞東石化股份有限公司","桃園市觀音區觀音工業區經建四路47號","01"
"80329815","元大人壽保險股份有限公司","臺北市松山區民生東路三段156號17樓","01"
"27253935","全國農業金庫股份有限公司","臺北市中正區館前路77號6至11樓","01"
"28689155","和碩聯合科技股份有限公司","臺北市北投區立功街76號5樓","01"
"23218395","燁聯鋼鐵股份有限公司","高雄市岡山區興隆街600號","01"
"34051920","台達電子工業股份有限公司","桃園市龜山區山頂里興邦路31之1號","01"
"22318348","大成不銹鋼工業股份有限公司","臺南市仁德區新田二街125號","01"
"23357403","光寶科技股份有限公司","臺北市內湖區瑞光路392號22樓","01"
"22099836","乾坤科技股份有限公司","新竹科學園區新竹縣寶山鄉研發二路2號","01"
"11026506","大同股份有限公司","臺北市中山區集英里21鄰中山北路三段22號","01"
"11326855","明東實業股份有限公司","臺北市中正區銅山街13號2樓","01"
"90838471","台灣三元能源科技股份有限公司","臺北市中山區中山北路2段113號11樓","01"
"22956035","群益金鼎證券股份有限公司","臺北市松山區民生東路三段156號7樓之5、11樓之1~之3、11樓之6、12樓、12樓之1~之3、12樓之5~之6、13樓、13樓之1~之3、13樓之5~之6、14樓之1~之3、14樓之5~之6、15樓之5、16樓之3","01"
"11337775","長榮海運股份有限公司","臺北市中山區民生東路二段166號1至4樓","01"
